Item,Tarea_requerida,Respuesta_correcta,Direcciones,Bucles,Condicionales,Funciones
Item 1,Secuenciación,B,Direcciones,,,
Item 2,Completamiento,C,Direcciones,,,
Item 3,Depuración,D,Direcciones,,,
Item 4,Secuenciación,D,Direcciones,,,
Item 5,Secuenciación,C,Direcciones,Bucles,,
Item 6,Completamiento,D,Direcciones,Bucles,,
Item 7,Depuración,A,Direcciones,Bucles,,
Item 8,Secuenciación,B,Direcciones,Bucles,,
Item 9,Secuenciación,D,Direcciones,Bucles,,
Item 10,Completamiento,C,Direcciones,Bucles,,
Item 11,Depuración,C,Direcciones,Bucles,,
Item 12,Secuenciación,A,Direcciones,Bucles,,
Item 13,Secuenciación,B,Direcciones,Bucles,Condicionales,
Item 14,Secuenciación,A,Direcciones,Bucles,Condicionales,
Item 15,Completamiento,D,Direcciones,Bucles,Condicionales,
Item 16,Depuración,D,Direcciones,Bucles,Condicionales,
Item 17,Secuenciación,B,Direcciones,Bucles,Condicionales,
Item 18,Secuenciación,A,Direcciones,Bucles,Condicionales,
Item 19,Depuración,B,Direcciones,Bucles,Condicionales,
Item 20,Completamiento,C,Direcciones,Bucles,Condicionales,
Item 21,Secuenciación,A,Direcciones,Bucles,Condicionales,
Item 22,Secuenciación,B,Direcciones,Bucles,Condicionales,
Item 23,Completamiento,A,Direcciones,,Condicionales,
Item 24,Completamiento,C,Direcciones,,Condicionales,
Item 25,Secuenciación,B,Direcciones,Bucles,,Funciones
Item 26,Completamiento,B,Direcciones,Bucles,,Funciones
Item 27,Secuenciación,A,Direcciones,Bucles,,Funciones
Item 28,Completamiento,C,Direcciones,Bucles,,Funciones
